Noise,SNR,Model,EER,Filter,Window_Size
rayleigh,10,redimnet,0.19630104918701832,mean,25
rayleigh,15,campplus,0.20527025338291116,mean,25
rayleigh,15,ecapa_tdnn,0.1530341376878431,mean,25
rayleigh,15,redimnet,0.1821520624862338,mean,25
rayleigh,20,campplus,0.19192590434474718,mean,25
rayleigh,20,ecapa_tdnn,0.14643322987433866,mean,25
rayleigh,20,redimnet,0.17382109065586782,mean,25
rayleigh,5,campplus,0.26396138668238567,mean,25
rayleigh,5,ecapa_tdnn,0.18361788079340113,mean,25
rayleigh,5,redimnet,0.2173122280551908,mean,25
AirConditioner,0,campplus,0.3263527439206051,savgol,12
AirConditioner,0,ecapa_tdnn,0.24031976742174663,savgol,12
AirConditioner,0,redimnet,0.3313572637096844,savgol,12
AirConditioner,10,campplus,0.23470267890626934,savgol,12
AirConditioner,10,ecapa_tdnn,0.16196076557178668,savgol,12
AirConditioner,10,redimnet,0.21288827852139125,savgol,12
AirConditioner,15,campplus,0.19456276824771324,savgol,12
AirConditioner,15,ecapa_tdnn,0.13550962243944908,savgol,12
AirConditioner,15,redimnet,0.17257441767879247,savgol,12
AirConditioner,20,campplus,0.1615234771068498,savgol,12
AirConditioner,20,ecapa_tdnn,0.1149554056106749,savgol,12
AirConditioner,20,redimnet,0.1429797736549299,savgol,12
AirConditioner,5,campplus,0.27966677260955664,savgol,12
AirConditioner,5,ecapa_tdnn,0.19595115269606894,savgol,12
AirConditioner,5,redimnet,0.2667954260372073,savgol,12
Babble,0,campplus,0.2620010814582764,savgol,12
Babble,0,ecapa_tdnn,0.24802588033752782,savgol,12
Babble,0,redimnet,0.23780003094580132,savgol,12
Babble,10,campplus,0.15787055201368105,savgol,12
Babble,10,ecapa_tdnn,0.1397959381183821,savgol,12
Babble,10,redimnet,0.15251842422337136,savgol,12
Babble,15,campplus,0.1304544988098006,savgol,12
Babble,15,ecapa_tdnn,0.11439872657706728,savgol,12
Babble,15,redimnet,0.12846271029519224,savgol,12
Babble,20,campplus,0.11582195087980884,savgol,12
Babble,20,ecapa_tdnn,0.09831186472768953,savgol,12
Babble,20,redimnet,0.11273847573839069,savgol,12
Babble,5,campplus,0.1998878805375824,savgol,12
Babble,5,ecapa_tdnn,0.18271471692170682,savgol,12
Babble,5,redimnet,0.18740823659583805,savgol,12
gaussian,0,campplus,0.19041305527107633,savgol,12
gaussian,0,ecapa_tdnn,0.18894341862490693,savgol,12
gaussian,0,redimnet,0.1871506172340395,savgol,12
gaussian,10,campplus,0.15024906861518536,savgol,12
gaussian,10,ecapa_tdnn,0.1305425666272154,savgol,12
gaussian,10,redimnet,0.14894287719834903,savgol,12
gaussian,15,campplus,0.1454515669844903,savgol,12
gaussian,15,ecapa_tdnn,0.11909757861219655,savgol,12
gaussian,15,redimnet,0.1402700666883308,savgol,12
gaussian,20,campplus,0.145077648481281,savgol,12
gaussian,20,ecapa_tdnn,0.1108678548920452,savgol,12
gaussian,20,redimnet,0.13297805539738344,savgol,12
gaussian,5,campplus,0.1602506028452837,savgol,12
gaussian,5,ecapa_tdnn,0.14801192776634664,savgol,12
gaussian,5,redimnet,0.1585892382077343,savgol,12
Neighbor,0,campplus,0.2949330588941918,savgol,12
Neighbor,0,ecapa_tdnn,0.287564301994888,savgol,12
Neighbor,0,redimnet,0.3026260000140223,savgol,12
Neighbor,10,campplus,0.16056134227653027,savgol,12
Neighbor,10,ecapa_tdnn,0.15408764823570367,savgol,12
Neighbor,10,redimnet,0.16793540029030057,savgol,12
Neighbor,15,campplus,0.12785738996500484,savgol,12
Neighbor,15,ecapa_tdnn,0.11901028024939254,savgol,12
Neighbor,15,redimnet,0.13363909448660413,savgol,12
Neighbor,20,campplus,0.11080331493807986,savgol,12
Neighbor,20,ecapa_tdnn,0.09814307201903844,savgol,12
Neighbor,20,redimnet,0.11377112742968612,savgol,12
Neighbor,5,campplus,0.21809255053427312,savgol,12
Neighbor,5,ecapa_tdnn,0.21090640840862168,savgol,12
Neighbor,5,redimnet,0.2259034635739378,savgol,12
poisson,0,campplus,0.17191979168375027,savgol,12
poisson,0,ecapa_tdnn,0.162309020699967,savgol,12
poisson,0,redimnet,0.22963187752757755,savgol,12
poisson,10,campplus,0.14332658926141648,savgol,12
poisson,10,ecapa_tdnn,0.11379916586594137,savgol,12
poisson,10,redimnet,0.1392468591653684,savgol,12
poisson,15,campplus,0.1418241869273723,savgol,12
poisson,15,ecapa_tdnn,0.10858666767392518,savgol,12
poisson,15,redimnet,0.12755902178072853,savgol,12
poisson,20,campplus,0.14338106504129144,savgol,12
poisson,20,ecapa_tdnn,0.10629439103294105,savgol,12
poisson,20,redimnet,0.1252585977117599,savgol,12
poisson,5,campplus,0.1475783724301244,savgol,12
poisson,5,ecapa_tdnn,0.12585215330095317,savgol,12
poisson,5,redimnet,0.16842043580200172,savgol,12
rayleigh,0,campplus,0.19026535588477814,savgol,12
rayleigh,0,ecapa_tdnn,0.1886381365640558,savgol,12
rayleigh,0,redimnet,0.1868199706081583,savgol,12
rayleigh,10,campplus,0.14894099750322776,savgol,12
rayleigh,10,ecapa_tdnn,0.1311307277131879,savgol,12
